AES_KEY:cc2d0f214a88a720d6065b3683a85392
TOTAL_BITS:235776
209,88,E,RGB
152,232,E,RGB
250,93,E,RGB
134,217,E,RGB
161,339,E,RGB
261,226,E,RGB
370,18,E,RGB
224,260,E,RGB
305,448,E,RGB
437,327,E,RGB
407,488,E,RGB
242,76,E,RGB
288,289,E,RGB
463,306,E,RGB
389,505,E,RGB
409,61,E,RGB
201,58,E,RGB
416,485,E,RGB
212,511,E,RGB
300,343,E,RGB
158,212,E,RGB
351,93,E,RGB
382,22,E,RGB
273,245,E,RGB
319,280,E,RGB
412,153,E,RGB
409,490,E,RGB
311,372,E,RGB
202,93,E,RGB
408,360,E,RGB
228,322,E,RGB
492,62,E,RGB
502,442,E,RGB
491,337,E,RGB
247,443,E,RGB
296,420,E,RGB
11,445,E,RGB
370,187,E,RGB
382,320,E,RGB
179,450,E,RGB
427,4,E,RGB
377,43,E,RGB
145,496,E,RGB
352,451,E,RGB
179,74,E,RGB
330,42,E,RGB
89,429,E,RGB
391,61,E,RGB
428,453,E,RGB
189,356,E,RGB
312,53,E,RGB
262,271,E,RGB
388,375,E,RGB
198,216,E,RGB
202,151,E,RGB
117,348,E,RGB
246,145,E,RGB
461,485,E,RGB
501,439,E,RGB
441,490,E,RGB
220,320,E,RGB
118,484,E,RGB
316,175,E,RGB
152,297,E,RGB
320,464,E,RGB
243,460,E,RGB
287,308,E,RGB
301,439,E,RGB
192,427,E,RGB
334,273,E,RGB
338,231,E,RGB
102,482,E,RGB
351,63,E,RGB
351,448,E,RGB
210,265,E,RGB
453,303,E,RGB
168,197,E,RGB
125,500,E,RGB
148,299,E,RGB
221,366,E,RGB
80,437,E,RGB
387,338,E,RGB
412,195,E,RGB
113,453,E,RGB
154,370,E,RGB
74,454,E,RGB
281,394,E,RGB
241,59,E,RGB
230,477,E,RGB
232,140,E,RGB
503,130,E,RGB
300,394,E,RGB
482,445,E,RGB
95,377,E,RGB
207,46,E,RGB
218,273,E,RGB
206,202,E,RGB
312,26,E,RGB
389,350,E,RGB
6,491,E,RGB
241,406,E,RGB
387,461,E,RGB
86,507,E,RGB
450,192,E,RGB
412,445,E,RGB
308,461,E,RGB
85,412,E,RGB
86,389,E,RGB
348,449,E,RGB
286,466,E,RGB
404,232,E,RGB
370,426,E,RGB
247,363,E,RGB
320,121,E,RGB
193,99,E,RGB
161,351,E,RGB
89,449,E,RGB
502,192,E,RGB
360,453,E,RGB
200,44,E,RGB
57,427,E,RGB
483,141,E,RGB
373,117,E,RGB
358,132,E,RGB
157,344,E,RGB
343,285,E,RGB
252,165,E,RGB
283,481,E,RGB
493,389,E,RGB
415,97,E,RGB
271,64,E,RGB
338,457,E,RGB
402,62,E,RGB
452,298,E,RGB
511,120,E,RGB
331,468,E,RGB
461,292,E,RGB
206,173,E,RGB
491,478,E,RGB
318,382,E,RGB
360,4,E,RGB
155,482,E,RGB
234,502,E,RGB
339,478,E,RGB
423,424,E,RGB
170,422,E,RGB
162,345,E,RGB
140,326,E,RGB
249,110,E,RGB
99,492,E,RGB
325,154,E,RGB
493,55,E,RGB
374,316,E,RGB
178,239,E,RGB
391,101,E,RGB
253,468,E,RGB
309,455,E,RGB
270,501,E,RGB
274,208,E,RGB
319,322,E,RGB
248,166,E,RGB
351,401,E,RGB
419,494,E,RGB
180,92,E,RGB
401,187,E,RGB
439,6,E,RGB
321,74,E,RGB
504,190,E,RGB
487,2,E,RGB
322,10,E,RGB
118,406,E,RGB
287,69,E,RGB
434,7,E,RGB
459,338,E,RGB
488,154,E,RGB
184,220,E,RGB
284,364,E,RGB
434,40,E,RGB
508,374,E,RGB
392,148,E,RGB
167,437,E,RGB
247,241,E,RGB
230,166,E,RGB
276,112,E,RGB
330,106,E,RGB
298,403,E,RGB
219,438,E,RGB
156,434,E,RGB
354,463,E,RGB
115,485,E,RGB
216,115,E,RGB
447,311,E,RGB
329,184,E,RGB
326,509,E,RGB
394,504,E,RGB
326,139,E,RGB
175,325,E,RGB
188,371,E,RGB
350,31,E,RGB
430,386,E,RGB
206,501,E,RGB
252,19,E,RGB
126,366,E,RGB
255,99,E,RGB
248,338,E,RGB
140,184,E,RGB
228,157,E,RGB
493,51,E,RGB
181,437,E,RGB
289,365,E,RGB
242,164,E,RGB
217,111,E,RGB
443,158,E,RGB
88,392,E,RGB
211,127,E,RGB
310,64,E,RGB
235,100,E,RGB
345,474,E,RGB
306,380,E,RGB
168,107,E,RGB
394,107,E,RGB
443,58,E,RGB
259,419,E,RGB
372,196,E,RGB
490,87,E,RGB
286,93,E,RGB
494,84,E,RGB
337,328,E,RGB
169,343,E,RGB
503,159,E,RGB
459,344,E,RGB
204,273,E,RGB
307,91,E,RGB
471,444,E,RGB
362,229,E,RGB
333,273,E,RGB
385,31,E,RGB
491,56,E,RGB
275,474,E,RGB
