y,x,channel
0,0,R
0,0,G
0,0,B
0,1,R
0,1,G
0,1,B
0,2,R
0,2,G
0,2,B
0,3,R
0,3,G
0,3,B
0,4,R
0,4,G
0,4,B
0,5,R
0,5,G
0,5,B
0,6,R
0,6,G
0,6,B
0,7,R
0,7,G
0,7,B
0,8,R
0,8,G
0,8,B
0,9,R
0,9,G
0,9,B
0,10,R
0,10,G
0,10,B
0,11,R
0,11,G
0,11,B
0,12,R
0,12,G
0,12,B
0,13,R
0,13,G
0,13,B
0,14,R
0,14,G
0,14,B
0,15,R
0,15,G
0,15,B
0,16,R
0,16,G
0,16,B
0,17,R
0,17,G
0,17,B
0,18,R
0,18,G
0,18,B
0,19,R
0,19,G
0,19,B
0,20,R
0,20,G
0,20,B
0,21,R
0,21,G
0,21,B
0,22,R
0,22,G
0,22,B
0,23,R
0,23,G
0,23,B
0,24,R
0,24,G
0,24,B
0,25,R
0,25,G
0,25,B
0,26,R
0,26,G
0,26,B
0,27,R
0,27,G
0,27,B
0,28,R
0,28,G
0,28,B
0,29,R
0,29,G
0,29,B
0,30,R
0,30,G
0,30,B
0,31,R
0,31,G
0,31,B
0,32,R
0,32,G
0,32,B
0,33,R
0,33,G
0,33,B
0,34,R
0,34,G
0,34,B
0,35,R
0,35,G
0,35,B
0,36,R
0,36,G
0,36,B
0,37,R
0,37,G
0,37,B
0,38,R
0,38,G
0,38,B
0,39,R
0,39,G
0,39,B
0,40,R
0,40,G
0,40,B
0,41,R
0,41,G
0,41,B
0,42,R
0,42,G
0,42,B
0,43,R
0,43,G
0,43,B
0,44,R
0,44,G
0,44,B
0,45,R
0,45,G
0,45,B
0,46,R
0,46,G
0,46,B
0,47,R
0,47,G
0,47,B
0,48,R
0,48,G
0,48,B
0,49,R
0,49,G
0,49,B
0,50,R
0,50,G
0,50,B
0,51,R
0,51,G
0,51,B
0,52,R
0,52,G
0,52,B
0,53,R
0,53,G
0,53,B
0,54,R
0,54,G
0,54,B
0,55,R
0,55,G
0,55,B
0,56,R
0,56,G
0,56,B
0,57,R
0,57,G
0,57,B
0,58,R
0,58,G
0,58,B
0,59,R
0,59,G
0,59,B
0,60,R
0,60,G
0,60,B
0,61,R
0,61,G
0,61,B
0,62,R
0,62,G
0,62,B
0,63,R
0,63,G
0,63,B
0,64,R
0,64,G
0,64,B
0,65,R
0,65,G
0,65,B
0,66,R
0,66,G
0,66,B
0,67,R
0,67,G
0,67,B
0,68,R
0,68,G
0,68,B
0,69,R
0,69,G
0,69,B
0,70,R
0,70,G
0,70,B
0,71,R
0,71,G
0,71,B
0,72,R
0,72,G
0,72,B
0,73,R
0,73,G
0,73,B
0,74,R
0,74,G
0,74,B
0,75,R
0,75,G
0,75,B
0,76,R
0,76,G
0,76,B
0,77,R
0,77,G
0,77,B
0,78,R
0,78,G
0,78,B
0,79,R
0,79,G
0,79,B
0,80,R
0,80,G
0,80,B
0,81,R
0,81,G
0,81,B
0,82,R
0,82,G
0,82,B
0,83,R
0,83,G
0,83,B
0,84,R
0,84,G
0,84,B
0,85,R
0,85,G
0,85,B
0,86,R
0,86,G
0,86,B
0,87,R
0,87,G
0,87,B
0,88,R
0,88,G
0,88,B
0,89,R
0,89,G
0,89,B
0,90,R
0,90,G
0,90,B
0,91,R
0,91,G
0,91,B
0,92,R
0,92,G
0,92,B
0,93,R
0,93,G
0,93,B
0,94,R
0,94,G
0,94,B
0,95,R
0,95,G
0,95,B
0,96,R
0,96,G
0,96,B
0,97,R
0,97,G
0,97,B
0,98,R
0,98,G
0,98,B
0,99,R
0,99,G
0,99,B
0,100,R
0,100,G
0,100,B
0,101,R
0,101,G
0,101,B
0,102,R
0,102,G
0,102,B
0,103,R
0,103,G
0,103,B
0,104,R
0,104,G
0,104,B
0,105,R
0,105,G
0,105,B
0,106,R
0,106,G
0,106,B
0,107,R
0,107,G
0,107,B
0,108,R
0,108,G
0,108,B
0,109,R
0,109,G
0,109,B
0,110,R
0,110,G
0,110,B
0,111,R
0,111,G
0,111,B
0,112,R
0,112,G
0,112,B
0,113,R
0,113,G
0,113,B
0,114,R
0,114,G
0,114,B
0,115,R
0,115,G
0,115,B
0,116,R
0,116,G
0,116,B
0,117,R
0,117,G
0,117,B
0,118,R
0,118,G
0,118,B
0,119,R
0,119,G
0,119,B
0,120,R
0,120,G
0,120,B
0,121,R
0,121,G
0,121,B
0,122,R
0,122,G
0,122,B
0,123,R
0,123,G
0,123,B
0,124,R
0,124,G
0,124,B
0,125,R
0,125,G
0,125,B
0,126,R
0,126,G
0,126,B
0,127,R
0,127,G
0,127,B
1,0,R
1,0,G
1,0,B
1,1,R
1,1,G
1,1,B
1,2,R
1,2,G
1,2,B
1,3,R
1,3,G
1,3,B
1,4,R
1,4,G
1,4,B
1,5,R
1,5,G
1,5,B
1,6,R
1,6,G
1,6,B
1,7,R
1,7,G
1,7,B
1,8,R
1,8,G
1,8,B
1,9,R
1,9,G
1,9,B
1,10,R
1,10,G
1,10,B
1,11,R
1,11,G
1,11,B
1,12,R
1,12,G
1,12,B
1,13,R
1,13,G
1,13,B
1,14,R
1,14,G
1,14,B
1,15,R
1,15,G
1,15,B
1,16,R
1,16,G
1,16,B
1,17,R
1,17,G
1,17,B
1,18,R
1,18,G
1,18,B
1,19,R
1,19,G
1,19,B
1,20,R
1,20,G
1,20,B
1,21,R
1,21,G
1,21,B
1,22,R
1,22,G
1,22,B
1,23,R
1,23,G
1,23,B
1,24,R
1,24,G
1,24,B
1,25,R
1,25,G
1,25,B
1,26,R
1,26,G
1,26,B
1,27,R
1,27,G
1,27,B
1,28,R
1,28,G
1,28,B
1,29,R
1,29,G
1,29,B
1,30,R
1,30,G
1,30,B
1,31,R
1,31,G
1,31,B
1,32,R
1,32,G
1,32,B
1,33,R
1,33,G
1,33,B
1,34,R
1,34,G
1,34,B
1,35,R
1,35,G
1,35,B
1,36,R
1,36,G
1,36,B
1,37,R
1,37,G
1,37,B
1,38,R
1,38,G
1,38,B
1,39,R
1,39,G
1,39,B
1,40,R
1,40,G
1,40,B
1,41,R
1,41,G
1,41,B
1,42,R
1,42,G
1,42,B
1,43,R
1,43,G
1,43,B
1,44,R
1,44,G
1,44,B
